id,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
1035,A00001,"Blake, Robert",artist,38,A Figure Bowing before a Seated Old Man with his Arm Outstretched in Benediction. Verso: Indecipherable Sketch,date not known,"Watercolour, ink, chalk and graphite on paper. Verso: graphite on paper",Presented by Mrs John Richmond 1922,,1922,support: 394 x 419 mm,394,419,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00001_8.jpg,http://www.tate.org.uk/art/artworks/blake-a-figure-bowing-before-a-seated-old-man-with-his-arm-outstretched-in-benediction-a00001
1036,A00002,"Blake, Robert",artist,38,"Two Drawings of Frightened Figures, Probably for ‘The Approach of Doom’",date not known,Graphite on paper,Presented by Mrs John Richmond 1922,,1922,support: 311 x 213 mm,311,213,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00002_8.jpg,http://www.tate.org.uk/art/artworks/blake-two-drawings-of-frightened-figures-probably-for-the-approach-of-doom-a00002
1037,A00003,"Blake, Robert",artist,38,"The Preaching of Warning. Verso: An Old Man Enthroned Between Two Groups of Figures, by ?William Blake",?c.1785,Graphite on paper. Verso: graphite on paper,Presented by Mrs John Richmond 1922,1785,1922,support: 343 x 467 mm,343,467,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00003_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-preaching-of-warning-verso-an-old-man-enthroned-between-two-groups-of-figures-by-a00003
1038,A00004,"Blake, Robert",artist,38,Six Drawings of Figures with Outstretched Arms,date not known,Graphite on paper,Presented by Mrs John Richmond 1922,,1922,support: 318 x 394 mm,318,394,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00004_8.jpg,http://www.tate.org.uk/art/artworks/blake-six-drawings-of-figures-with-outstretched-arms-a00004
1039,A00005,"Blake, William",artist,39,The Circle of the Lustful: Francesca da Rimini (‘The Whirlwind of Lovers’),"1826–7, reprinted 1892",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1826,1919,image: 243 x 335 mm,243,335,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00005_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-circle-of-the-lustful-francesca-da-rimini-the-whirlwind-of-lovers-a00005
1040,A00006,"Blake, William",artist,39,Ciampolo the Barrator Tormented by the Devils,"1826–7, reprinted 1892",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1826,1919,image: 240 x 338 mm,240,338,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00006_8.jpg,http://www.tate.org.uk/art/artworks/blake-ciampolo-the-barrator-tormented-by-the-devils-a00006
1041,A00007,"Blake, William",artist,39,The Baffled Devils Fighting,"1826–7, reprinted 1892",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1826,1919,image: 242 x 334 mm,242,334,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00007_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-baffled-devils-fighting-a00007
1042,A00008,"Blake, William",artist,39,The Six-Footed Serpent Attacking Agnolo Brunelleschi,"1826–7, reprinted 1892",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1826,1919,image: 246 x 340 mm,246,340,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00008_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-six-footed-serpent-attacking-agnolo-brunelleschi-a00008
1043,A00009,"Blake, William",artist,39,The Serpent Attacking Buoso Donati,"1826–7, reprinted 1892",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1826,1919,image: 241 x 335 mm,241,335,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00009_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-serpent-attacking-buoso-donati-a00009
1044,A00010,"Blake, William",artist,39,The Pit of Disease: The Falsifiers,"1826–7, reprinted 1892",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1826,1919,image: 243 x 340 mm,243,340,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00010_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-pit-of-disease-the-falsifiers-a00010
1045,A00011,"Blake, William",artist,39,Dante Striking against Bocca Degli Abati,"1826–7, reprinted 1892",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1826,1919,image: 236 x 340 mm,236,340,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00011_8.jpg,http://www.tate.org.uk/art/artworks/blake-dante-striking-against-bocca-degli-abati-a00011
1046,A00012,"Blake, William",artist,39,Job and his Family,"1828, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1828,1919,image: 184 x 150 mm,184,150,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00012_8.jpg,http://www.tate.org.uk/art/artworks/blake-job-and-his-family-a00012
1047,A00013,"Blake, William",artist,39,Satan before the Throne of God,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,1919,image: 197 x 151 mm,197,151,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00013_8.jpg,http://www.tate.org.uk/art/artworks/blake-satan-before-the-throne-of-god-a00013
1048,A00014,"Blake, William",artist,39,Job’s Sons and Daughters Overwhelmed by Satan,"1825, reprinted 1874",Line engraving on paper    ,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,1919,image: 197 x 153 mm,197,153,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00014_8.jpg,http://www.tate.org.uk/art/artworks/blake-jobs-sons-and-daughters-overwhelmed-by-satan-a00014
1049,A00015,"Blake, William",artist,39,The Messengers tell Job of his Misfortunes,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,1919,image: 200 x 152 mm,200,152,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00015_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-messengers-tell-job-of-his-misfortunes-a00015
1050,A00016,"Blake, William",artist,39,"Satan Going Forth from the Presence of the Lord, and Job’s Charity","1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,1919,image: 198 x 152 mm,198,152,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00016_8.jpg,http://www.tate.org.uk/art/artworks/blake-satan-going-forth-from-the-presence-of-the-lord-and-jobs-charity-a00016
1051,A00017,"Blake, William",artist,39,Satan Smiting Job with Sore Boils,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,1919,image: 198 x 153 mm,198,153,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00017_8.jpg,http://www.tate.org.uk/art/artworks/blake-satan-smiting-job-with-sore-boils-a00017
1052,A00018,"Blake, William",artist,39,Job’s Comforters,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,1919,image: 198 x 153 mm,198,153,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00018_8.jpg,http://www.tate.org.uk/art/artworks/blake-jobs-comforters-a00018
1053,A00019,"Blake, William",artist,39,Job’s Despair,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the Art Fund 1919",1825,1919,image: 199 x 150 mm,199,150,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00019_8.jpg,http://www.tate.org.uk/art/artworks/blake-jobs-despair-a00019
1054,A00020,"Blake, William",artist,39,The Vision of Eliphaz,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,1919,image: 198 x 152 mm,198,152,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00020_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-vision-of-eliphaz-a00020
1055,A00021,"Blake, William",artist,39,Job Rebuked by his Friends,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,1919,image: 198 x 152 mm,198,152,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00021_8.jpg,http://www.tate.org.uk/art/artworks/blake-job-rebuked-by-his-friends-a00021
1056,A00022,"Blake, William",artist,39,Job’s Evil Dreams,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,1919,image: 197 x 152 mm,197,152,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00022_8.jpg,http://www.tate.org.uk/art/artworks/blake-jobs-evil-dreams-a00022
