playerID,firstName,lastName,pos,birthYear,birthMon,birthDay,birthCountry,birthState,birthCity
aaltoan01,Antti,Aalto,C,1975.0,3.0,4.0,Finland,,Lappeenranta
abbotsp01,Spencer,Abbott,L,1988.0,4.0,30.0,Canada,ON,Hamilton
abdelju01,Justin,Abdelkader,L,1987.0,2.0,25.0,USA,MI,Muskegon
abergpo01,Pontus,Aberg,L,1993.0,9.0,23.0,Sweden,,Stockholm
abidra01,Ramzi,Abid,L,1980.0,3.0,24.0,Canada,QC,Montreal
abrahth01,Thommy,Abrahamsson,D,1947.0,4.0,12.0,Sweden,,Leksand
acciano01,Noel,Acciari,C,1991.0,12.0,1.0,USA,RI,Johnston
actonke01,Keith,Acton,C,1958.0,4.0,15.0,Canada,ON,Stouffville
actonwi01,Will,Acton,C,1987.0,7.0,16.0,USA,MN,Edina
adamlu01,Luke,Adam,L,1990.0,6.0,18.0,Canada,NL,St. John's
adamru01,Russ,Adam,C,1961.0,5.0,5.0,Canada,ON,Windsor
adamsbr01,Bryan,Adams,L,1977.0,3.0,20.0,Canada,BC,Fort St. James
adamscr01,Craig,Adams,R,1977.0,4.0,26.0,Brunei Darussalam,,Seria
adamsgr01,Greg,Adams,L,1960.0,5.0,31.0,Canada,BC,Duncan
adamsgr02,Greg,Adams,L,1963.0,8.0,15.0,Canada,BC,Nelson
adamske01,Kevyn,Adams,C,1974.0,10.0,8.0,USA,DC,Washington
aebisda01,David,Aebischer,G,1978.0,2.0,7.0,Switzerland,,Fribourg
afanadm01,Dmitry,Afanasenkov,L,1980.0,5.0,12.0,Russia,,Arkhangelsk
afflebr01,Bruce,Affleck,D,1954.0,5.0,5.0,Canada,BC,Penticton
afinoma01,Maxim,Afinogenov,R,1979.0,9.0,4.0,Russia,,Moscow
agnewji01,Jim,Agnew,D,1966.0,3.0,21.0,Canada,MB,Deloraine
agostke01,Kenny,Agostino,L,1992.0,4.0,30.0,USA,NJ,Morristown
agozzan01,Andrew,Agozzino,L,1991.0,1.0,3.0,Canada,ON,Kleinburg
aholape01,Peter,Ahola,D,1968.0,5.0,14.0,Finland,,Espoo
ahose01,Sebastian,Aho,R,1997.0,7.0,26.0,Finland,,Rauma
ahose02,Sebastian,Aho,D,1996.0,2.0,17.0,Sweden,,Umea
aitkebr01,Brad,Aitken,L,1967.0,10.0,30.0,Canada,ON,Scarborough
aitkejo01,Johnathan,Aitken,D,1978.0,5.0,24.0,Canada,AB,Edmonton
aittosa01,Sami,Aittokallio,G,1992.0,8.0,6.0,Finland,,Tampere
aivazmi01,Micah,Aivazoff,C,1969.0,5.0,4.0,Canada,BC,Powell River
akesoja01,Jason,Akeson,C,1990.0,6.0,3.0,Canada,ON,Orleans
alatami01,Mika,Alatalo,L,1971.0,6.0,11.0,Finland,,Oulu
albelto01,Tommy,Albelin,D,1964.0,5.0,21.0,Sweden,,Stockholm
alberan01,Andrew,Alberts,D,1981.0,6.0,30.0,USA,MN,Minneapolis
alberjo01,John,Albert,C,1989.0,1.0,19.0,USA,OH,Cleveland
aldrike01,Keith,Aldridge,D,1973.0,7.0,20.0,USA,MI,Detroit
alexeni01,Nikita,Alexeev,R,1981.0,12.0,27.0,Russia,,Murmansk
alfreda01,Daniel,Alfredsson,R,1972.0,12.0,11.0,Sweden,,Grums
aliuak01,Akim,Aliu,R,1989.0,4.0,24.0,Nigeria,,Okene
allenbo01,Bobby,Allen,D,1978.0,11.0,14.0,USA,MA,Weymouth
allenbr01,Bryan,Allen,D,1980.0,8.0,21.0,Canada,ON,Kingston
allench01,Chris,Allen,D,1978.0,5.0,8.0,Canada,ON,Chatham
allenco01,Conor,Allen,D,1990.0,1.0,31.0,USA,IL,Chicago
allenja01,Jake,Allen,G,1990.0,8.0,7.0,Canada,NB,Fredericton
allenpe01,Peter,Allen,D,1970.0,3.0,6.0,Canada,AB,Calgary
alleyst01,Steve,Alley,L,1953.0,12.0,29.0,USA,MN,Anoka
allisda01,Dave,Allison,D,1959.0,4.0,14.0,Canada,ON,Fort Frances
allisja01,Jason,Allison,C,1975.0,5.0,29.0,Canada,ON,North York
allisja02,Jamie,Allison,D,1975.0,5.0,13.0,Canada,ON,Lindsay
allismi01,Mike,Allison,L,1961.0,3.0,28.0,Canada,ON,Ft. Frances
allisra01,Ray,Allison,R,1959.0,3.0,4.0,Canada,BC,Cranbrook
almonco01,Cody,Almond,C,1989.0,7.0,24.0,Canada,AB,Calgary
almqvad01,Adam,Almqvist,D,1991.0,2.0,27.0,Sweden,,Jonkoping
altma01,Mark,Alt,D,1991.0,10.0,18.0,USA,MO,Kansas City
alvesjo01,Jorge,Alves,G,1979.0,1.0,30.0,USA,MA,Boston
alzneka01,Karl,Alzner,D,1988.0,9.0,24.0,Canada,BC,Burnaby
amadimi01,Michael,Amadio,C,1996.0,5.0,13.0,Canada,ON,Sault Ste. Marie
ambrope01,Peter,Ambroziak,L,1971.0,9.0,15.0,Canada,ON,Kanata
amontto01,Tony,Amonte,R,1970.0,8.0,2.0,USA,MA,Hingham
andercr01,Craig,Anderson,G,1981.0,5.0,21.0,USA,IL,Park Ridge
anderer01,Erik,Andersson,L,1971.0,8.0,19.0,Sweden,,Stockholm
anderfr01,Frederik,Andersen,G,1989.0,10.0,2.0,Denmark,,Herning
andergl01,Glenn,Anderson,R,1960.0,10.0,2.0,Canada,BC,Vancouver
anderjo01,John,Anderson,L,1957.0,3.0,28.0,Canada,ON,Toronto
anderjo02,Jonas,Andersson,R,1981.0,2.0,24.0,Sweden,,Stockholm
anderjo04,Joakim,Andersson,C,1989.0,2.0,5.0,Sweden,,Munkedal
anderjo05,Josh,Anderson,R,1994.0,5.0,7.0,Canada,ON,Burlington
anderke01,Kent-Erik,Andersson,R,1951.0,5.0,24.0,Sweden,,Orebro
anderli01,Lias,Andersson,C,1998.0,10.0,13.0,Sweden,,Smogen
anderma01,Matt,Anderson,R,1982.0,10.0,31.0,USA,NY,West Islip
andermi01,Mikael,Andersson,L,1966.0,5.0,10.0,Sweden,,Malmo
anderni01,Niklas,Andersson,L,1971.0,5.0,20.0,Sweden,,Kungalv
anderpe01,Perry,Anderson,L,1961.0,10.0,14.0,Canada,ON,Barrie
anderpe02,Peter,Andersson,D,1962.0,3.0,2.0,Sweden,,Federtalve
anderpe03,Peter,Andersson,D,1965.0,8.0,29.0,Sweden,,Orebro
anderra01,Rasmus,Andersson,D,1996.0,10.0,27.0,Sweden,,Malmo
anderru01,Russ,Anderson,D,1955.0,2.0,12.0,USA,MN,Minneapolis
andersh01,Shawn,Anderson,D,1968.0,2.0,7.0,Canada,QC,Montreal
andrean01,Andy,Andreoff,L,1991.0,5.0,17.0,Canada,ON,Pickering
andreda01,Dave,Andreychuk,L,1963.0,9.0,29.0,Canada,ON,Hamilton
andrial01,Alexander,Andrievski,R,1968.0,8.0,10.0,Belarus,,Minsk
andrisv01,Sven,Andrighetto,R,1993.0,3.0,21.0,Switzerland,,Zurich
andrugr01,Greg,Andrusak,D,1969.0,11.0,14.0,Canada,BC,Cranbrook
angelme01,Mel,Angelstad,L,1972.0,10.0,31.0,Canada,SK,Saskatoon
angelmi01,Mike,Angelidis,C,1985.0,6.0,27.0,Canada,ON,Woodbridge
anholda01,Darrel,Anholt,D,1962.0,11.0,23.0,Canada,AB,Hardisty
anisiar01,Artem,Anisimov,C,1988.0,5.0,24.0,Russia,,Yaroslavl
antipvi01,Victor,Antipin,D,1992.0,12.0,6.0,Kazakhstan,,Ust-Kamenogorsk
antonmi01,Mike,Antonovich,C,1951.0,10.0,18.0,USA,MN,Calumet
antossh01,Shawn,Antoski,L,1970.0,3.0,25.0,Canada,ON,Brantford
antroni01,Nik,Antropov,C,1980.0,2.0,18.0,Russia,,Vost
appleke01,Ken,Appleby,G,1995.0,4.0,10.0,Canada,ON,North Bay
archida01,Dave,Archibald,C,1969.0,4.0,14.0,Canada,BC,Chilliwack
archida02,Darren,Archibald,R,1990.0,2.0,9.0,Canada,ON,Newmarket
archiji01,Jim,Archibald,R,1961.0,6.0,6.0,Canada,SK,Craik
archijo01,Josh,Archibald,R,1992.0,10.0,6.0,Canada,SK,Regina
arcobma01,Mark,Arcobello,L,1988.0,8.0,12.0,USA,CT,Milford
arkhide01,Denis,Arkhipov,C,1979.0,5.0,19.0,Russia,,Kazan
armiajo01,Joel,Armia,R,1993.0,5.0,31.0,Finland,,Pori
armstbi01,Bill,Armstrong,C,1966.0,6.0,25.0,Canada,ON,London
armstch01,Chris,Armstrong,D,1975.0,6.0,26.0,Canada,SK,Regina
armstco01,Colby,Armstrong,R,1982.0,11.0,23.0,Canada,BC,Lloydminster
armstde01,Derek,Armstrong,C,1973.0,4.0,23.0,Canada,ON,Ottawa
armstri01,Riley,Armstrong,R,1984.0,11.0,8.0,Canada,SK,Saskatoon
armstti01,Tim,Armstrong,C,1967.0,5.0,12.0,Canada,ON,Toronto
arnasty01,Tyler,Arnason,C,1979.0,3.0,16.0,USA,OK,Oklahoma City
arnieja01,Jamie,Arniel,C,1989.0,11.0,16.0,Canada,ON,Kingston
arniesc01,Scott,Arniel,L,1962.0,9.0,17.0,Canada,ON,Kingston
arnolbi01,Bill,Arnold,C,1992.0,5.0,13.0,USA,MA,Boston
arnotja01,Jason,Arnott,C,1974.0,10.0,11.0,Canada,ON,Collingwood
arsende01,Dean,Arsene,D,1980.0,7.0,20.0,Canada,BC,Murrayville
arthufr01,Fred,Arthur,D,1961.0,3.0,6.0,Canada,ON,Toronto
artyuev01,Evgeny,Artyukhin,R,1983.0,4.0,4.0,Russia,,Moscow
arvedma01,Magnus,Arvedson,L,1971.0,11.0,25.0,Sweden,,Karlstad
arvidvi01,Viktor,Arvidsson,L,1993.0,4.0,8.0,Sweden,,Skelleftea
ashamar01,Arron,Asham,R,1978.0,4.0,13.0,Canada,MB,Portage la Prairie
ashbydo01,Don,Ashby,C,1955.0,3.0,8.0,Canada,BC,Kamloops
ashtobr01,Brent,Ashton,L,1960.0,5.0,18.0,Canada,SK,Saskatoon
ashtoca01,Carter,Ashton,R,1991.0,4.0,1.0,Canada,MB,Winnipeg
askeyto01,Tom,Askey,G,1974.0,10.0,4.0,USA,NY,Tonawanda
astaska01,Kaspars,Astashenko,D,1975.0,2.0,17.0,Latvia,,Riga
astlema01,Mark,Astley,D,1969.0,3.0,30.0,Canada,AB,Calgary
astonza01,Zach,Aston-Reese,C,1994.0,8.0,10.0,USA,NY,Staten Island
astroha01,Hardy,Astrom,G,1951.0,3.0,29.0,Sweden,,Skelleftea
atchebl01,Blair,Atcheynum,R,1969.0,4.0,20.0,Canada,SK,Estevan
athanan01,Andreas,Athanasiou,C,1994.0,8.0,6.0,Canada,ON,London
atkinca01,Cam,Atkinson,R,1989.0,6.0,5.0,USA,CT,Riverside
attwebo01,Bob,Attwell,R,1959.0,12.0,26.0,USA,WA,Spokane
aubinje01,Jean-Sebastien,Aubin,G,1977.0,7.0,19.0,Canada,QC,Montreal
aubinno01,Norm,Aubin,C,1960.0,7.0,26.0,Canada,QC,St. Leonard
aubinse01,Serge,Aubin,C,1975.0,2.0,15.0,Canada,QC,Val d'Or
aubrypi01,Pierre,Aubry,C,1960.0,4.0,15.0,Canada,QC,Cap-de-la-Madeleine
aucoiad01,Adrian,Aucoin,D,1973.0,7.0,3.0,Canada,ON,Ottawa
aucoike01,Keith,Aucoin,C,1978.0,11.0,6.0,USA,MA,Waltham
audetdo01,Donald,Audette,R,1969.0,9.0,23.0,Canada,QC,Laval
audetph01,Philippe,Audet,L,1977.0,6.0,4.0,Canada,ON,Ottawa
augele01,Les,Auge,D,1953.0,5.0,16.0,USA,MN,St. Paul
augerju01,Justin,Auger,R,1994.0,5.0,14.0,Canada,ON,Kitchener
auguspa01,Patrik,Augusta,R,1969.0,11.0,13.0,Czech Republic,,Jihlava
auldal01,Alex,Auld,G,1981.0,1.0,7.0,Canada,AB,Cold Lake
aulieke01,Keith,Aulie,D,1989.0,6.0,11.0,Canada,SK,Rouleau
aulinja01,Jared,Aulin,C,1982.0,3.0,15.0,Canada,AB,Calgary
austibr01,Brady,Austin,D,1993.0,6.0,16.0,Canada,ON,Bobcaygeon
auvityo01,Yohann,Auvitu,D,1989.0,7.0,27.0,France,,Ivry-sur-Seine
averyse01,Sean,Avery,C,1980.0,4.0,10.0,Canada,ON,North York
axelspj01,P.J.,Axelsson,L,1975.0,2.0,26.0,Sweden,,Kungalv
babchan01,Anton,Babchuk,D,1984.0,5.0,6.0,Ukraine,,Kiev
babcobo01,Bobby,Babcock,D,1968.0,8.0,3.0,Canada,ON,Agincourt
babenyu01,Yuri,Babenko,C,1978.0,1.0,2.0,Russia,,Penza
babewa01,Warren,Babe,L,1968.0,9.0,7.0,Canada,AB,Medicine Hat
babycda01,Dave,Babych,D,1961.0,5.0,23.0,Canada,AB,Edmonton
babycwa01,Wayne,Babych,R,1958.0,6.0,6.0,Canada,AB,Edmonton
bacaje01,Jergus,Baca,D,1965.0,1.0,4.0,Slovakia,,Liptovsky Mikulas
bacasja01,Jason,Bacashihua,G,1982.0,9.0,20.0,USA,MI,Garden City
bachmri01,Richard,Bachman,G,1987.0,7.0,25.0,USA,UT,Salt Lake City
bachry01,Ryan,Bach,G,1973.0,10.0,21.0,Canada,AB,Sherwood Park
backeda01,David,Backes,R,1984.0,5.0,1.0,USA,MN,Blaine
backljo01,Johan,Backlund,G,1981.0,7.0,24.0,Sweden,,Skelleftea
backlmi01,Mikael,Backlund,C,1989.0,3.0,17.0,Sweden,,Vasteras
backmch01,Christian,Backman,D,1980.0,4.0,28.0,Sweden,,Alingsas
backmmi01,Mike,Backman,R,1955.0,1.0,2.0,Canada,NS,Halifax
backsni01,Niklas,Backstrom,G,1978.0,2.0,13.0,Finland,,Helsinki
backsni02,Nicklas,Backstrom,C,1987.0,11.0,23.0,Sweden,,Gavle
baertsv01,Sven,Baertschi,L,1992.0,10.0,5.0,Switzerland,,Langenthal
bagnadr01,Drew,Bagnall,D,1983.0,10.0,26.0,Canada,MB,Oakbank
baileca01,Casey,Bailey,R,1991.0,10.0,27.0,USA,AK,Anchorage
bailejo01,Josh,Bailey,C,1989.0,10.0,2.0,Canada,ON,Oshawa
baileju01,Justin,Bailey,R,1995.0,7.0,1.0,USA,NY,Buffalo
bailere01,Reid,Bailey,D,1956.0,5.0,28.0,Canada,ON,Toronto
bailesc01,Scott,Bailey,G,1972.0,5.0,2.0,Canada,AB,Calgary
bailljo01,Joel,Baillargeon,L,1964.0,10.0,6.0,Canada,QC,Charlesbourg
bakerbi01,Bill,Baker,D,1956.0,11.0,29.0,USA,MN,Grand Rapids
bakerja01,Jamie,Baker,C,1966.0,8.0,31.0,Canada,ON,Nepean
bakerst01,Steve,Baker,G,1957.0,5.0,6.0,USA,MA,Boston
bakovpe01,Peter,Bakovic,L,1965.0,1.0,31.0,Canada,ON,Thunder Bay
balach01,Chris,Bala,L,1978.0,9.0,24.0,USA,VA,Alexandria
balasja01,Jaroslav,Balastik,L,1979.0,11.0,28.0,Czech Republic,,Gottwaldov
baldehe01,Helmut,Balderis,R,1952.0,6.0,30.0,Latvia,,Riga
balejjo01,Jozef,Balej,R,1982.0,2.0,22.0,Slovakia,,Myjava
balesmi01,Mike,Bales,G,1971.0,8.0,6.0,Canada,SK,Prince Albert
balisch01,Chase,Balisy,C,1992.0,2.0,2.0,USA,CA,Fullerton
ballake01,Keith,Ballard,D,1982.0,11.0,26.0,USA,MN,Baudette
balmoma01,Maxim,Balmochnykh,L,1979.0,3.0,7.0,Russia,,Lipetsk
banckca01,Carter,Bancks,L,1988.0,9.0,20.0,Canada,AB,Calgary
bancrst01,Steve,Bancroft,D,1970.0,10.0,6.0,Canada,ON,Toronto
banduje01,Jeff,Bandura,D,1957.0,2.0,4.0,Canada,BC,White Rock
bangda01,Daniel,Bang,R,1987.0,4.0,19.0,Sweden,,Stockholm
banhafr01,Frank,Banham,R,1975.0,4.0,14.0,Canada,AB,Calahoo
banksda01,Darren,Banks,L,1966.0,3.0,18.0,Canada,ON,Toronto
bannemu01,Murray,Bannerman,G,1957.0,4.0,27.0,Canada,ON,Ft. Frances
bannidr01,Drew,Bannister,D,1974.0,9.0,4.0,Canada,ON,Belleville
baptini01,Nicholas,Baptiste,R,1995.0,8.0,4.0,Canada,ON,Ottawa
barahra01,Ralph,Barahona,C,1965.0,11.0,16.0,USA,CA,Long Beach
baraniv01,Ivan,Baranka,D,1985.0,5.0,19.0,Slovakia,,Ilva
barbaiv01,Ivan,Barbashev,C,1995.0,12.0,14.0,Russian Federation,,Moscow
barbebi01,Bill,Barber,L,1952.0,7.0,11.0,Canada,ON,Callander
barbedo01,Don,Barber,L,1964.0,12.0,2.0,Canada,BC,Victoria
barbema01,Mark,Barberio,D,1990.0,3.0,23.0,Canada,QC,Montreal
barberi01,Riley,Barber,R,1994.0,2.0,7.0,USA,PA,Pittsburgh
barchkr01,Krys,Barch,R,1980.0,3.0,26.0,Canada,ON,Hamilton
