,year,tmID,name
727,1980,BOS,Boston Bruins
728,1980,BUF,Buffalo Sabres
729,1980,CAL,Calgary Flames
730,1980,CHI,Chicago Black Hawks
731,1980,COR,Colorado Rockies
732,1980,DET,Detroit Red Wings
733,1980,EDM,Edmonton Oilers
734,1980,HAR,Hartford Whalers
735,1980,LAK,Los Angeles Kings
736,1980,MNS,Minnesota North Stars
737,1980,MTL,Montreal Canadiens
738,1980,NYI,New York Islanders
739,1980,NYR,New York Rangers
740,1980,PHI,Philadelphia Flyers
741,1980,PIT,Pittsburgh Penguins
742,1980,QUE,Quebec Nordiques
743,1980,STL,St. Louis Blues
744,1980,TOR,Toronto Maple Leafs
745,1980,VAN,Vancouver Canucks
746,1980,WAS,Washington Capitals
747,1980,WIN,Winnipeg Jets
748,1981,BOS,Boston Bruins
749,1981,BUF,Buffalo Sabres
750,1981,CAL,Calgary Flames
751,1981,CHI,Chicago Black Hawks
752,1981,COR,Colorado Rockies
753,1981,DET,Detroit Red Wings
754,1981,EDM,Edmonton Oilers
755,1981,HAR,Hartford Whalers
756,1981,LAK,Los Angeles Kings
757,1981,MNS,Minnesota North Stars
758,1981,MTL,Montreal Canadiens
759,1981,NYI,New York Islanders
760,1981,NYR,New York Rangers
761,1981,PHI,Philadelphia Flyers
762,1981,PIT,Pittsburgh Penguins
763,1981,QUE,Quebec Nordiques
764,1981,STL,St. Louis Blues
765,1981,TOR,Toronto Maple Leafs
766,1981,VAN,Vancouver Canucks
767,1981,WAS,Washington Capitals
768,1981,WIN,Winnipeg Jets
769,1982,BOS,Boston Bruins
770,1982,BUF,Buffalo Sabres
771,1982,CAL,Calgary Flames
772,1982,CHI,Chicago Black Hawks
773,1982,DET,Detroit Red Wings
774,1982,EDM,Edmonton Oilers
775,1982,HAR,Hartford Whalers
776,1982,LAK,Los Angeles Kings
777,1982,MNS,Minnesota North Stars
778,1982,MTL,Montreal Canadiens
779,1982,NJD,New Jersey Devils
780,1982,NYI,New York Islanders
781,1982,NYR,New York Rangers
782,1982,PHI,Philadelphia Flyers
783,1982,PIT,Pittsburgh Penguins
784,1982,QUE,Quebec Nordiques
785,1982,STL,St. Louis Blues
786,1982,TOR,Toronto Maple Leafs
787,1982,VAN,Vancouver Canucks
788,1982,WAS,Washington Capitals
789,1982,WIN,Winnipeg Jets
790,1983,BOS,Boston Bruins
791,1983,BUF,Buffalo Sabres
792,1983,CAL,Calgary Flames
793,1983,CHI,Chicago Black Hawks
794,1983,DET,Detroit Red Wings
795,1983,EDM,Edmonton Oilers
796,1983,HAR,Hartford Whalers
797,1983,LAK,Los Angeles Kings
798,1983,MNS,Minnesota North Stars
799,1983,MTL,Montreal Canadiens
800,1983,NJD,New Jersey Devils
801,1983,NYI,New York Islanders
802,1983,NYR,New York Rangers
803,1983,PHI,Philadelphia Flyers
804,1983,PIT,Pittsburgh Penguins
805,1983,QUE,Quebec Nordiques
806,1983,STL,St. Louis Blues
807,1983,TOR,Toronto Maple Leafs
808,1983,VAN,Vancouver Canucks
809,1983,WAS,Washington Capitals
810,1983,WIN,Winnipeg Jets
811,1984,BOS,Boston Bruins
812,1984,BUF,Buffalo Sabres
813,1984,CAL,Calgary Flames
814,1984,CHI,Chicago Black Hawks
815,1984,DET,Detroit Red Wings
816,1984,EDM,Edmonton Oilers
817,1984,HAR,Hartford Whalers
818,1984,LAK,Los Angeles Kings
819,1984,MNS,Minnesota North Stars
820,1984,MTL,Montreal Canadiens
821,1984,NJD,New Jersey Devils
822,1984,NYI,New York Islanders
823,1984,NYR,New York Rangers
824,1984,PHI,Philadelphia Flyers
825,1984,PIT,Pittsburgh Penguins
826,1984,QUE,Quebec Nordiques
827,1984,STL,St. Louis Blues
828,1984,TOR,Toronto Maple Leafs
829,1984,VAN,Vancouver Canucks
830,1984,WAS,Washington Capitals
831,1984,WIN,Winnipeg Jets
832,1985,BOS,Boston Bruins
833,1985,BUF,Buffalo Sabres
834,1985,CAL,Calgary Flames
835,1985,CHI,Chicago Black Hawks
836,1985,DET,Detroit Red Wings
837,1985,EDM,Edmonton Oilers
838,1985,HAR,Hartford Whalers
839,1985,LAK,Los Angeles Kings
840,1985,MNS,Minnesota North Stars
841,1985,MTL,Montreal Canadiens
842,1985,NJD,New Jersey Devils
843,1985,NYI,New York Islanders
844,1985,NYR,New York Rangers
845,1985,PHI,Philadelphia Flyers
846,1985,PIT,Pittsburgh Penguins
847,1985,QUE,Quebec Nordiques
848,1985,STL,St. Louis Blues
849,1985,TOR,Toronto Maple Leafs
850,1985,VAN,Vancouver Canucks
851,1985,WAS,Washington Capitals
852,1985,WIN,Winnipeg Jets
853,1986,BOS,Boston Bruins
854,1986,BUF,Buffalo Sabres
855,1986,CAL,Calgary Flames
856,1986,CHI,Chicago Blackhawks
857,1986,DET,Detroit Red Wings
858,1986,EDM,Edmonton Oilers
859,1986,HAR,Hartford Whalers
860,1986,LAK,Los Angeles Kings
861,1986,MNS,Minnesota North Stars
862,1986,MTL,Montreal Canadiens
863,1986,NJD,New Jersey Devils
864,1986,NYI,New York Islanders
865,1986,NYR,New York Rangers
866,1986,PHI,Philadelphia Flyers
867,1986,PIT,Pittsburgh Penguins
868,1986,QUE,Quebec Nordiques
869,1986,STL,St. Louis Blues
870,1986,TOR,Toronto Maple Leafs
871,1986,VAN,Vancouver Canucks
872,1986,WAS,Washington Capitals
873,1986,WIN,Winnipeg Jets
874,1987,BOS,Boston Bruins
875,1987,BUF,Buffalo Sabres
876,1987,CAL,Calgary Flames
877,1987,CHI,Chicago Blackhawks
878,1987,DET,Detroit Red Wings
879,1987,EDM,Edmonton Oilers
880,1987,HAR,Hartford Whalers
881,1987,LAK,Los Angeles Kings
882,1987,MNS,Minnesota North Stars
883,1987,MTL,Montreal Canadiens
884,1987,NJD,New Jersey Devils
885,1987,NYI,New York Islanders
886,1987,NYR,New York Rangers
887,1987,PHI,Philadelphia Flyers
888,1987,PIT,Pittsburgh Penguins
