,year,tmID,SepW,SepL,SepT,SepOL,OctW,OctL,OctT,OctOL,NovW,NovL,NovT,NovOL,DecW,DecL,DecT,DecOL,JanW,JanL,JanT,JanOL,FebW,FebL,FebT,FebOL,MarW,MarL,MarT,MarOL,AprW,AprL,AprT,AprOL
0,1909,COB,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,2.0,3.0,0.0,,1.0,4.0,0.0,,,,,
1,1909,HAI,,,,,,,,,,,,,,,,,1.0,3.0,0.0,,2.0,5.0,0.0,,1.0,0.0,0.0,,,,,
2,1909,LES,,,,,,,,,,,,,,,,,0.0,3.0,0.0,,1.0,5.0,0.0,,1.0,2.0,0.0,,,,,
3,1909,MOS,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,1.0,5.0,0.0,,1.0,1.0,0.0,,,,,
4,1909,MOW,,,,,,,,,,,,,,,,,2.0,1.0,0.0,,6.0,0.0,0.0,,3.0,0.0,0.0,,,,,
5,1909,OT1,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,5.0,1.0,0.0,,0.0,2.0,0.0,,,,,
6,1909,REN,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,4.0,2.0,0.0,,2.0,0.0,0.0,,,,,
7,1910,MOC,,,,,,,,,,,,,0.0,1.0,0.0,,4.0,2.0,0.0,,4.0,2.0,0.0,,0.0,3.0,0.0,,,,,
8,1910,MOW,,,,,,,,,,,,,,,,,3.0,2.0,0.0,,3.0,6.0,0.0,,1.0,1.0,0.0,,,,,
9,1910,OT1,,,,,,,,,,,,,1.0,0.0,0.0,,6.0,0.0,0.0,,4.0,1.0,0.0,,2.0,2.0,0.0,,,,,
10,1910,QU1,,,,,,,,,,,,,,,,,1.0,6.0,0.0,,3.0,6.0,0.0,,,,,,,,,
11,1910,REN,,,,,,,,,,,,,,,,,1.0,5.0,0.0,,4.0,3.0,0.0,,3.0,0.0,0.0,,,,,
12,1911,MOC,,,,,,,,,,,,,,,,,5.0,4.0,0.0,,2.0,6.0,0.0,,1.0,0.0,0.0,,,,,
13,1911,MOW,,,,,,,,,,,,,1.0,0.0,0.0,,4.0,3.0,0.0,,3.0,5.0,0.0,,1.0,1.0,0.0,,,,,
14,1911,OT1,,,,,,,,,,,,,,,,,3.0,5.0,0.0,,6.0,2.0,0.0,,0.0,2.0,0.0,,,,,
15,1911,QU1,,,,,,,,,,,,,0.0,1.0,0.0,,4.0,4.0,0.0,,5.0,3.0,0.0,,1.0,0.0,0.0,,,,,
16,1911,NWR,,,,,,,,,,,,,,,,,4.0,2.0,0.0,,2.0,3.0,0.0,,3.0,1.0,0.0,,,,,
17,1911,VA1,,,,,,,,,,,,,,,,,3.0,4.0,0.0,,2.0,3.0,0.0,,2.0,2.0,0.0,,,,,
18,1911,VML,,,,,,,,,,,,,,,,,2.0,3.0,0.0,,4.0,2.0,0.0,,1.0,3.0,0.0,,,,,
19,1912,MOC,,,,,,,,,,,,,2.0,0.0,0.0,,5.0,3.0,0.0,,1.0,7.0,0.0,,1.0,1.0,0.0,,,,,
20,1912,MOW,,,,,,,,,,,,,1.0,1.0,0.0,,5.0,3.0,0.0,,3.0,5.0,0.0,,1.0,1.0,0.0,,,,,
21,1912,OT1,,,,,,,,,,,,,0.0,1.0,0.0,,4.0,5.0,0.0,,4.0,4.0,0.0,,1.0,1.0,0.0,,,,,
22,1912,QU1,,,,,,,,,,,,,2.0,0.0,0.0,,4.0,4.0,0.0,,8.0,0.0,0.0,,2.0,0.0,0.0,,,,,
23,1912,TBS,,,,,,,,,,,,,0.0,2.0,0.0,,3.0,5.0,0.0,,5.0,3.0,0.0,,1.0,1.0,0.0,,,,,
24,1912,TO1,,,,,,,,,,,,,0.0,1.0,0.0,,4.0,5.0,0.0,,3.0,5.0,0.0,,0.0,2.0,0.0,,,,,
25,1912,NWR,,,,,,,,,,,,,0.0,2.0,0.0,,1.0,4.0,0.0,,3.0,2.0,0.0,,0.0,1.0,0.0,,,,,
26,1912,VA1,,,,,,,,,,,,,2.0,1.0,0.0,,4.0,1.0,0.0,,3.0,2.0,0.0,,1.0,1.0,0.0,,,,,
27,1912,VML,,,,,,,,,,,,,2.0,1.0,0.0,,2.0,2.0,0.0,,2.0,4.0,0.0,,1.0,0.0,0.0,,,,,
28,1913,MOC,,,,,,,,,,,,,1.0,1.0,0.0,,6.0,3.0,0.0,,5.0,3.0,0.0,,1.0,0.0,0.0,,,,,
29,1913,MOW,,,,,,,,,,,,,2.0,0.0,0.0,,0.0,9.0,0.0,,4.0,4.0,0.0,,1.0,0.0,0.0,,,,,
30,1913,OT1,,,,,,,,,,,,,0.0,2.0,0.0,,8.0,1.0,0.0,,3.0,5.0,0.0,,0.0,1.0,0.0,,,,,
31,1913,QU1,,,,,,,,,,,,,1.0,1.0,0.0,,4.0,5.0,0.0,,6.0,2.0,0.0,,1.0,0.0,0.0,,,,,
32,1913,TBS,,,,,,,,,,,,,1.0,1.0,0.0,,6.0,3.0,0.0,,6.0,2.0,0.0,,0.0,1.0,0.0,,,,,
33,1913,TOO,,,,,,,,,,,,,1.0,1.0,0.0,,3.0,6.0,0.0,,0.0,8.0,0.0,,0.0,1.0,0.0,,,,,
34,1913,NWR,,,,,,,,,,,,,2.0,3.0,0.0,,2.0,4.0,0.0,,3.0,2.0,0.0,,,,,,,,,
35,1913,VA1,,,,,,,,,,,,,2.0,2.0,0.0,,4.0,3.0,0.0,,4.0,1.0,0.0,,,,,,,,,
36,1913,VML,,,,,,,,,,,,,3.0,2.0,0.0,,3.0,2.0,0.0,,1.0,5.0,0.0,,,,,,,,,
37,1914,MOC,,,,,,,,,,,,,0.0,2.0,0.0,,2.0,7.0,0.0,,4.0,4.0,0.0,,0.0,1.0,0.0,,,,,
38,1914,MOW,,,,,,,,,,,,,2.0,0.0,0.0,,5.0,4.0,0.0,,6.0,2.0,0.0,,1.0,0.0,0.0,,,,,
39,1914,OT1,,,,,,,,,,,,,2.0,0.0,0.0,,6.0,3.0,0.0,,5.0,3.0,0.0,,1.0,0.0,0.0,,,,,
40,1914,QU1,,,,,,,,,,,,,1.0,1.0,0.0,,4.0,5.0,0.0,,6.0,2.0,0.0,,0.0,1.0,0.0,,,,,
41,1914,TBS,,,,,,,,,,,,,1.0,1.0,0.0,,6.0,3.0,0.0,,1.0,7.0,0.0,,0.0,1.0,0.0,,,,,
42,1914,TOO,,,,,,,,,,,,,0.0,2.0,0.0,,4.0,5.0,0.0,,2.0,6.0,0.0,,1.0,0.0,0.0,,,,,
43,1914,PO1,,,,,,,,,,,,,2.0,2.0,0.0,,3.0,2.0,0.0,,2.0,5.0,0.0,,2.0,0.0,0.0,,,,,
44,1914,VA1,,,,,,,,,,,,,0.0,4.0,0.0,,2.0,3.0,0.0,,2.0,3.0,0.0,,0.0,3.0,0.0,,,,,
45,1914,VML,,,,,,,,,,,,,4.0,0.0,0.0,,3.0,3.0,0.0,,5.0,1.0,0.0,,1.0,0.0,0.0,,,,,
46,1915,MOC,,,,,,,,,,,,,1.0,2.0,0.0,,4.0,3.0,1.0,,6.0,2.0,0.0,,5.0,0.0,0.0,,,,,
47,1915,MOW,,,,,,,,,,,,,4.0,0.0,0.0,,3.0,5.0,0.0,,3.0,4.0,0.0,,0.0,5.0,0.0,,,,,
48,1915,OT1,,,,,,,,,,,,,1.0,2.0,0.0,,5.0,3.0,0.0,,5.0,4.0,0.0,,2.0,2.0,0.0,,,,,
49,1915,QU1,,,,,,,,,,,,,2.0,1.0,0.0,,5.0,3.0,1.0,,1.0,5.0,1.0,,2.0,3.0,0.0,,,,,
50,1915,TBS,,,,,,,,,,,,,0.0,3.0,0.0,,3.0,6.0,0.0,,3.0,3.0,1.0,,3.0,2.0,0.0,,,,,
51,1915,PO1,,,,,,,,,,,,,4.0,1.0,0.0,,4.0,2.0,0.0,,5.0,2.0,0.0,,,,,,,,,
52,1915,SEA,,,,,,,,,,,,,3.0,2.0,0.0,,1.0,5.0,0.0,,5.0,2.0,0.0,,,,,,,,,
53,1915,VA1,,,,,,,,,,,,,2.0,3.0,0.0,,1.0,5.0,0.0,,2.0,5.0,0.0,,,,,,,,,
54,1915,VML,,,,,,,,,,,,,1.0,4.0,0.0,,6.0,0.0,0.0,,2.0,5.0,0.0,,,,,,,,,
55,1916,MOC,,,,,,,,,,,,,0.0,2.0,0.0,,7.0,2.0,0.0,,3.0,5.0,0.0,,0.0,1.0,0.0,,,,,
56,1916,MOW,,,,,,,,,,,,,0.0,2.0,0.0,,3.0,6.0,0.0,,1.0,7.0,0.0,,1.0,0.0,0.0,,,,,
57,1916,OT1,,,,,,,,,,,,,1.0,1.0,0.0,,6.0,3.0,0.0,,7.0,1.0,0.0,,1.0,0.0,0.0,,,,,
58,1916,QU1,,,,,,,,,,,,,1.0,1.0,0.0,,2.0,7.0,0.0,,7.0,1.0,0.0,,0.0,1.0,0.0,,,,,
59,1916,TBS,,,,,,,,,,,,,2.0,0.0,0.0,,4.0,5.0,0.0,,1.0,2.0,0.0,,,,,,,,,
60,1916,TOB,,,,,,,,,,,,,2.0,0.0,0.0,,5.0,4.0,0.0,,0.0,3.0,0.0,,,,,,,,,
61,1916,PO1,,,,,,,,,,,,,3.0,5.0,0.0,,3.0,5.0,0.0,,3.0,4.0,0.0,,0.0,1.0,0.0,,,,,
62,1916,SEA,,,,,,,,,,,,,5.0,3.0,0.0,,5.0,3.0,0.0,,5.0,2.0,0.0,,1.0,0.0,0.0,,,,,
63,1916,SPO,,,,,,,,,,,,,4.0,4.0,0.0,,3.0,4.0,0.0,,1.0,6.0,0.0,,0.0,1.0,0.0,,,,,
64,1916,VML,,,,,,,,,,,,,4.0,4.0,0.0,,4.0,3.0,0.0,,5.0,2.0,0.0,,1.0,0.0,0.0,,,,,
65,1917,MTL,,,,,,,,,,,,,3.0,1.0,0.0,,6.0,3.0,0.0,,4.0,4.0,0.0,,0.0,1.0,0.0,,,,,
66,1917,MTW,,,,,,,,,,,,,1.0,3.0,0.0,,0.0,2.0,0.0,,,,,,,,,,,,,
67,1917,OTS,,,,,,,,,,,,,2.0,2.0,0.0,,3.0,6.0,0.0,,3.0,5.0,0.0,,1.0,0.0,0.0,,,,,
68,1917,TOA,,,,,,,,,,,,,2.0,2.0,0.0,,5.0,3.0,0.0,,5.0,3.0,0.0,,1.0,1.0,0.0,,,,,
69,1917,PO1,,,,,,,,,,,,,1.0,0.0,0.0,,2.0,5.0,0.0,,3.0,4.0,0.0,,1.0,2.0,0.0,,,,,
70,1917,SEA,,,,,,,,,,,,,,,,,5.0,3.0,0.0,,4.0,3.0,0.0,,2.0,1.0,0.0,,,,,
71,1917,VML,,,,,,,,,,,,,0.0,1.0,0.0,,4.0,3.0,0.0,,4.0,4.0,0.0,,1.0,1.0,0.0,,,,,
72,1918,MTL,,,,,,,,,,,,,2.0,1.0,0.0,,5.0,4.0,0.0,,3.0,3.0,0.0,,,,,,,,,
